product_id,family,category,product_name,current_size_range,current_grades,current_materials,current_finishes,current_standards,current_drive,current_head,current_thread_type,verified_size_range,verified_grades,verified_materials,verified_finishes,verified_standards,verified_drive,verified_head,verified_thread_type
bolts-standard-bolts-general-purpose-dome-head-bolts,Bolts,Standard Bolts (General Purpose),Dome Head Bolts,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A325; A490; A2-70; A4-80,C1018 / C1022; 10B21 / 10B33 boron; SCM435 / 42CrMo4; AISI 304 / 316; Duplex 2205,Trivalent zinc; Zinc flake; Hot dip galvanised; Mechanical zinc; Black oxide; Phosphate; Xylan,DIN 931; DIN 933; DIN 603; DIN 608; DIN 6921; ISO 4014,Hex,On request,Metric coarse,,,,,,,,
bolts-precision-and-engineering-bolts-double-end-bolt-2,Bolts,Precision and Engineering Bolts,Double End Bolt 2,"M6 – M100  |  1/4"" – 4""",B7; B7M; B16; B8/B8M; L7; 8.8; 10.9,42CrMo4 / AISI 4140; AISI 304 / 316; AISI 316L,PTFE (blue/green); Hot dip galvanised; Xylan; Zinc; Plain,ASTM A193 B7; ASTM A193 B16; ASTM A320 L7; ASME B16.5; DIN 938; DIN 939; DIN 2510,Threaded both ends,None (double-end stud),Metric coarse / UNC 8-pitch,,,,,,,,
bolts-construction-and-infrastructure-bolts-elevator-bolts,Bolts,Construction and Infrastructure Bolts,Elevator Bolts,M5 – M24,4.6; 4.8; 8.8; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Trivalent zinc (blue/yellow/black); Zinc flake; Black oxide; Phosphate; Hot dip galvanised; Plain,DIN 603; DIN 605; ISO 8677; ASME B18.5; IS 2609,None (square neck anti-rotation),Cup / Mushroom / Dome,Metric coarse,,,,,,,,
bolts-standard-bolts-general-purpose-engine-bolts,Bolts,Standard Bolts (General Purpose),Engine Bolts,M6 – M20,10.9; 12.9; 14.9,SCM435 / 34CrMo4; 42CrMo4; SAE 4340,Phosphate & oil; Zinc flake; MoS2,ISO 898-1; DIN 2510; OEM standard,External hex / 12-point / Hex socket,Hex flange / 12-point / Cap,"Metric fine, rolled after heat treatment",,,,,,,,
bolts-anchor-and-fastening-bolts-eye-bolts,Bolts,Anchor and Fastening Bolts,Eye Bolts,M6 – M100,Class 4 / Grade 8 lifting; A2-70,C15E forged; AISI 304,Hot dip galvanised; Painted; Passivated,DIN 580; DIN 582; ISO 3266; IS 4190,Eye / Ring,Forged eye,Metric coarse,,,,,,,,
bolts-standard-bolts-general-purpose-flange-bolt,Bolts,Standard Bolts (General Purpose),Flange Bolt,M5 – M20,8.8; 10.9; 12.9,10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 6921; ISO 4162; JIS B 1189; IS 6649,External hex,"Hex flange, serrated or plain",Metric coarse & fine,,,,,,,,
bolts-precision-and-engineering-bolts-forge-eye-bolt,Bolts,Precision and Engineering Bolts,Forge Eye Bolt,M6 – M100,Class 4 / Grade 8 lifting; A2-70,C15E forged; AISI 304,Hot dip galvanised; Painted; Passivated,DIN 580; DIN 582; ISO 3266; IS 4190,Eye / Ring,Forged eye,Metric coarse,,,,,,,,
bolts-standard-bolts-general-purpose-foundation-bolts,Bolts,Standard Bolts (General Purpose),Foundation Bolts,M12 – M64  |  300 – 3000 mm length,4.6; 8.8; F1554 Gr36/55/105; A2-70,Low carbon; 42CrMo4; AISI 304 / 316,Hot dip galvanised; Zinc; Plain; Epoxy,IS 5624; ASTM F1554 Gr36/55/105; DIN 529; EN 1992-4,External hex / Threaded end,L / J / Bent / Headed / Plate,"Metric coarse, rolled or cut",,,,,,,,
bolts-agriculture-bolts-grain-bin-bolts,Bolts,Agriculture Bolts,Grain Bin Bolts,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A325; A490; A2-70; A4-80,C1018 / C1022; 10B21 / 10B33 boron; SCM435 / 42CrMo4; AISI 304 / 316; Duplex 2205,Trivalent zinc; Zinc flake; Hot dip galvanised; Mechanical zinc; Black oxide; Phosphate; Xylan,DIN 931; DIN 933; DIN 603; DIN 608; DIN 6921; ISO 4014,Hex,On request,Metric coarse,,,,,,,,
bolts-construction-and-infrastructure-bolts-guardrail-bolt,Bolts,Construction and Infrastructure Bolts,Guardrail Bolt,M12 – M64  |  300 – 3000 mm length,4.6; 8.8; F1554 Gr36/55/105; A2-70,Low carbon; 42CrMo4; AISI 304 / 316,Hot dip galvanised; Zinc; Plain; Epoxy,IS 5624; ASTM F1554 Gr36/55/105; DIN 529; EN 1992-4,External hex / Threaded end,L / J / Bent / Headed / Plate,"Metric coarse, rolled or cut",,,,,,,,
bolts-specialty-bolts-high-strength-and-custom-applications-hammer-bolts,Bolts,Specialty Bolts (High Strength and Custom Applications),Hammer Bolts,M16 – M64,8.8; 10.9,42CrMo4 / AISI 4140; 34CrNiMo6,Zinc flake; Hot dip galvanised; Xylan,ISO 898-1; EN 14399; DIN 6914; IEC 61400 (ref),External hex / Hex socket,Hex / Heavy hex / Cap,"Metric coarse, rolled",,,,,,,,
bolts-construction-and-infrastructure-bolts-hanger-bolts,Bolts,Construction and Infrastructure Bolts,Hanger Bolts,M6 – M20  ×  40 – 300 mm,4.6; 8.8; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Hot dip galvanised; Yellow zinc; Plain,DIN 571; DIN 525; ASME B18.2.1; IS 6735,External hex,Hex / Double-end,"Wood thread one end, metric the other",,,,,,,,
bolts-construction-and-infrastructure-bolts-head-plow-bolts,Bolts,Construction and Infrastructure Bolts,Head Plow Bolts,"M10 – M24  |  1/2"" – 1""",8.8; 10.9; SAE Gr8,Medium carbon Q&T; 42CrMo4,Black oxide; Phosphate; Zinc,ASTM A325 (ref); SAE J429 Gr8; DIN 605; IS 2609,None (square/countersunk neck),Countersunk flat / Domed,Metric coarse / UNC,,,,,,,,
bolts-specialty-bolts-high-strength-and-custom-applications-heavy-hex-bolt-with-hole-on-head,Bolts,Specialty Bolts (High Strength and Custom Applications),Heavy Hex Bolt with Hole On Head,"M12 – M36  |  1/2"" – 1.1/2""",8.8; 10.9; A325; A490,Medium carbon Q&T; 42CrMo4 / AISI 4140; AISI 4037,Hot dip galvanised; Mechanical zinc; Plain; Zinc flake,ASTM F3125 Gr A325/A490; EN 14399-3; EN 14399-10; DIN 6914; IS 3757,Heavy hex,Heavy hex,Metric coarse / UNC,,,,,,,,
bolts-standard-bolts-general-purpose-hex-bolt,Bolts,Standard Bolts (General Purpose),Hex Bolt,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A2-70; A4-80,C1018 / C1022 low carbon; 10B21 boron steel; 10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 931; DIN 933; ISO 4014; ISO 4017; ASME B18.2.1; IS 1364,External hex,Hex,"Metric coarse & fine, UNC/UNF",,,,,,,,
bolts-automotive-bolts-hex-bolt-with-collar,Bolts,Automotive Bolts,Hex Bolt with Collar,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A2-70; A4-80,C1018 / C1022 low carbon; 10B21 boron steel; 10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 931; DIN 933; ISO 4014; ISO 4017; ASME B18.2.1; IS 1364,External hex,Hex,"Metric coarse & fine, UNC/UNF",,,,,,,,
bolts-anchor-and-fastening-bolts-hex-head-bolt-with-square-end,Bolts,Anchor and Fastening Bolts,Hex Head Bolt with Square End,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A2-70; A4-80,C1018 / C1022 low carbon; 10B21 boron steel; 10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 931; DIN 933; ISO 4014; ISO 4017; ASME B18.2.1; IS 1364,External hex,Hex,"Metric coarse & fine, UNC/UNF",,,,,,,,
bolts-specialty-bolts-high-strength-and-custom-applications-high-strength-friction-grip-bolts,Bolts,Specialty Bolts (High Strength and Custom Applications),High Strength Friction Grip Bolts,"M12 – M36  |  1/2"" – 1.1/2""",8.8; 10.9; A325; A490,Medium carbon Q&T; 42CrMo4 / AISI 4140; AISI 4037,Hot dip galvanised; Mechanical zinc; Plain; Zinc flake,ASTM F3125 Gr A325/A490; EN 14399-3; EN 14399-10; DIN 6914; IS 3757,Heavy hex,Heavy hex,Metric coarse / UNC,,,,,,,,
bolts-specialty-bolts-high-strength-and-custom-applications-high-tensile-bolts,Bolts,Specialty Bolts (High Strength and Custom Applications),High Tensile Bolts,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A325; A490; A2-70; A4-80,C1018 / C1022; 10B21 / 10B33 boron; SCM435 / 42CrMo4; AISI 304 / 316; Duplex 2205,Trivalent zinc; Zinc flake; Hot dip galvanised; Mechanical zinc; Black oxide; Phosphate; Xylan,DIN 931; DIN 933; DIN 603; DIN 608; DIN 6921; ISO 4014,Hex,On request,Metric coarse,,,,,,,,
bolts-construction-and-infrastructure-bolts-j-bolt,Bolts,Construction and Infrastructure Bolts,J Bolt,M12 – M64  |  300 – 3000 mm length,4.6; 8.8; F1554 Gr36/55/105; A2-70,Low carbon; 42CrMo4; AISI 304 / 316,Hot dip galvanised; Zinc; Plain; Epoxy,IS 5624; ASTM F1554 Gr36/55/105; DIN 529; EN 1992-4,External hex / Threaded end,L / J / Bent / Headed / Plate,"Metric coarse, rolled or cut",,,,,,,,
bolts-construction-and-infrastructure-bolts-lag-bolts,Bolts,Construction and Infrastructure Bolts,Lag Bolts,M6 – M20  ×  40 – 300 mm,4.6; 8.8; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Hot dip galvanised; Yellow zinc; Plain,DIN 571; DIN 525; ASME B18.2.1; IS 6735,External hex,Hex / Double-end,"Wood thread one end, metric the other",,,,,,,,
bolts-construction-and-infrastructure-bolts-mushroom-head-roofing-bolts,Bolts,Construction and Infrastructure Bolts,Mushroom Head Roofing Bolts,M5 – M24,4.6; 4.8; 8.8; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Trivalent zinc (blue/yellow/black); Zinc flake; Black oxide; Phosphate; Hot dip galvanised; Plain,DIN 603; DIN 605; ISO 8677; ASME B18.5; IS 2609,None (square neck anti-rotation),Cup / Mushroom / Dome,Metric coarse,,,,,,,,
bolts-agriculture-bolts-plow-bolts,Bolts,Agriculture Bolts,Plow Bolts,"M10 – M24  |  1/2"" – 1""",8.8; 10.9; SAE Gr8,Medium carbon Q&T; 42CrMo4,Black oxide; Phosphate; Zinc,ASTM A325 (ref); SAE J429 Gr8; DIN 605; IS 2609,None (square/countersunk neck),Countersunk flat / Domed,Metric coarse / UNC,,,,,,,,
bolts-automotive-bolts-round-head-bolt-with-knurling,Bolts,Automotive Bolts,Round Head Bolt with Knurling,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A325; A490; A2-70; A4-80,C1018 / C1022; 10B21 / 10B33 boron; SCM435 / 42CrMo4; AISI 304 / 316; Duplex 2205,Trivalent zinc; Zinc flake; Hot dip galvanised; Mechanical zinc; Black oxide; Phosphate; Xylan,DIN 931; DIN 933; DIN 603; DIN 608; DIN 6921; ISO 4014,Hex,On request,Metric coarse,,,,,,,,
bolts-construction-and-infrastructure-bolts-round-head-serrated-neck-bolts,Bolts,Construction and Infrastructure Bolts,Round Head Serrated Neck Bolts,M5 – M24,4.6; 4.8; 8.8; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Trivalent zinc (blue/yellow/black); Zinc flake; Black oxide; Phosphate; Hot dip galvanised; Plain,DIN 603; DIN 605; ISO 8677; ASME B18.5; IS 2609,None (square neck anti-rotation),Cup / Mushroom / Dome,Metric coarse,,,,,,,,
bolts-security-and-anti-theft-bolts-security-anti-theft-bolts,Bolts,Security and Anti Theft Bolts,Security Anti Theft Bolts,M4 – M20,8.8; 10.9; A2-70,C1018 / C1022 low carbon; 10B21 boron steel; AISI 304 / 304L; AISI 316 / 316L; AISI 410,Trivalent zinc (blue/yellow/black); Zinc flake; Black oxide; Phosphate; Hot dip galvanised; Plain,Manufacturer standard; DIN 7500 (form); ISO 7045 (reference),Pin-Torx / Two-hole / One-way / Shear-off,Button / Mushroom / Shear nut,Metric coarse,,,,,,,,
bolts-automotive-bolts-serrated-flange-hex-bolts,Bolts,Automotive Bolts,Serrated Flange Hex Bolts,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A2-70; A4-80,C1018 / C1022 low carbon; 10B21 boron steel; 10B21 / 10B33 boron; SCM435 / 34CrMo4; 42CrMo4 / AISI 4140,Zinc flake (Geomet/Delta-Tone); Trivalent zinc; Phosphate & oil; Hot dip galvanised; Xylan; Black oxide,DIN 931; DIN 933; ISO 4014; ISO 4017; ASME B18.2.1; IS 1364,External hex,Hex,"Metric coarse & fine, UNC/UNF",,,,,,,,
bolts-specialty-bolts-high-strength-and-custom-applications-shoulder-bolt-with-six-lobe-socket-head,Bolts,Specialty Bolts (High Strength and Custom Applications),Shoulder Bolt with Six Lobe Socket Head,6 – 25 mm shoulder dia,12.9; A2-70,SCM435 hardened; AISI 303/304,Black oxide; Plain ground,ISO 7379; DIN 923; ASME B18.3,Hex socket,Cylindrical shoulder,Metric coarse,,,,,,,,
bolts-precision-and-engineering-bolts-shoulder-bolts,Bolts,Precision and Engineering Bolts,Shoulder Bolts,6 – 25 mm shoulder dia,12.9; A2-70,SCM435 hardened; AISI 303/304,Black oxide; Plain ground,ISO 7379; DIN 923; ASME B18.3,Hex socket,Cylindrical shoulder,Metric coarse,,,,,,,,
bolts-agriculture-bolts-silo-bolts,Bolts,Agriculture Bolts,Silo Bolts,"M3 – M64  |  1/4"" – 2.1/2""",4.6; 5.6; 8.8; 10.9; 12.9; A325; A490; A2-70; A4-80,C1018 / C1022; 10B21 / 10B33 boron; SCM435 / 42CrMo4; AISI 304 / 316; Duplex 2205,Trivalent zinc; Zinc flake; Hot dip galvanised; Mechanical zinc; Black oxide; Phosphate; Xylan,DIN 931; DIN 933; DIN 603; DIN 608; DIN 6921; ISO 4014,Hex,On request,Metric coarse,,,,,,,,
